Output:
-------
token                         lexeme
------------------------------------
identifier                       for
separator                          (
identifier                   integer
identifier                         i
operator                           =
integer                            0
separator                          ;
identifier                         i
operator                           <
integer                            5
separator                          ;
identifier                         i
operator                           +
operator                           +
separator                          )
separator                          {
keyword                         real
identifier                     test0
operator                           =
real                  45212521.32513
separator                          ;
keyword                          int
identifier                     test1
operator                           =
integer                            0
separator                          ;
keyword                          int
identifier                     test2
operator                           =
real                             0.1
separator                          ;
separator                          }
keyword                        while
invalid                           [i
operator                           <
invalid                         5.0]
separator                          {
keyword                         bool
identifier                      test
operator                           =
integer                            0
separator                          ;
separator                          }
invalid                           α
invalid                           β
invalid                           γ
invalid                           ε
operator                           *
invalid                            ]
invalid                           []
separator                          {
separator                          }
identifier                       abc
integer                          123
operator                           *
operator                           +
operator                           -
operator                           =
