Output:
-------
token                         lexeme
------------------------------------
keyword                          int
identifier                      test
operator                           =
integer                            1
separator                          ;
identifier                       for
separator                          (
keyword                          int
identifier                         i
operator                           =
integer                            0
separator                          ;
identifier                         i
operator                           <
identifier                      size
separator                          ;
identifier                         i
operator                           +
separator                          )
separator                          {
keyword                           if
separator                          (
identifier                      test
operator                           =
operator                           =
integer                            1
separator                          )
separator                          {
keyword                       return
keyword                         true
separator                          ;
separator                          }
separator                          }
