Output:
-------
token                         lexeme
------------------------------------
keyword                     function
identifier                       add
separator                          (
identifier                   number1
separator                          ,
identifier                   number2
separator                          )
separator                          {
keyword                       return
identifier                   number1
operator                           +
identifier                   number2
separator                          ;
separator                          }
separator                          #
keyword                          int
identifier                     test0
separator                          ,
identifier                     test1
separator                          ;
keyword                         bool
identifier               trueOrFalse
separator                          ;
keyword                         real
identifier                     test2
separator                          ;
separator                          #
keyword                          get
separator                          (
identifier                     test0
separator                          ,
identifier                     test1
separator                          )
separator                          ;
keyword                           if
separator                          (
identifier                     test0
operator                          =>
identifier                     test1
separator                          )
separator                          {
keyword                       return
identifier                       add
separator                          (
identifier                     test0
separator                          ,
identifier                     test1
separator                          )
separator                          ;
separator                          }
keyword                           fi
