Output:
-------
token                         lexeme
------------------------------------
keyword                          int
identifier                      test
operator                           =
integer                            0
separator                          ;
keyword                           if
separator                          (
identifier                      test
operator                          ==
integer                            1
separator                          )
separator                          {
keyword                       return
keyword                         true
separator                          ;
separator                          }
keyword                         else
keyword                         real
identifier                     test1
operator                           =
real                           1.123
separator                          ;
