Output:
-------
token                         lexeme
------------------------------------
operator                           =
operator                          !=
operator                           >
operator                           <
operator                          <=
operator                          =>
operator                           +
operator                           -
operator                           *
operator                           /
separator                          (
separator                          )
operator                          ==
operator                           +
operator                           -
separator                          (
separator                          )
separator                          #
separator                          {
separator                          }
separator                          ;
separator                          ,
separator                          (
separator                          )
operator                           =
separator                          #
separator                          )
separator                          (
separator                          #
keyword                          int
keyword                         bool
keyword                           if
keyword                       return
keyword                        while
keyword                         else
keyword                          get
keyword                     endwhile
keyword                         true
keyword                        false
keyword                         real
keyword                          put
integer                            1
integer                         1000
integer                           99
integer               00000000000000
real                         234.567
real                        9.000001
real                          000.00
identifier                      X123
identifier                      zZZZ
identifier                     a123_
identifier                      b__1
identifier                zbcde12345
identifier                         x
invalid                            $
invalid                            _
identifier                     asd12
invalid                        23rty
invalid                         000.
invalid                         .123
